epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,5230.95,0.69016,0.31317,0.91277,0.99943,0.999,0.995,0.79162,0.85477,0.31454,0.92079,0.000676802,0.000676802,0.000676802
62,5316.81,0.65922,0.30323,0.9042,0.99981,0.9973,0.995,0.78554,0.87427,0.31879,0.92699,0.000660299,0.000660299,0.000660299
63,5403,0.67001,0.30694,0.90938,0.99975,0.996,0.995,0.78882,0.86099,0.32024,0.92406,0.000643795,0.000643795,0.000643795
64,5489.97,0.65362,0.2983,0.90359,0.9976,0.99008,0.99498,0.78811,0.86169,0.32921,0.9255,0.000627292,0.000627292,0.000627292
65,5576.38,0.66824,0.30095,0.90408,0.99915,0.99308,0.995,0.79357,0.85519,0.32455,0.91936,0.000610789,0.000610789,0.000610789
66,5663.02,0.6557,0.30001,0.8989,0.99868,0.998,0.995,0.78851,0.85411,0.32159,0.92495,0.000594286,0.000594286,0.000594286
67,5748.69,0.66839,0.30305,0.90532,0.99972,0.99796,0.995,0.79188,0.84471,0.31959,0.91979,0.000577782,0.000577782,0.000577782
68,5835.05,0.64658,0.29797,0.9045,0.99963,0.99681,0.995,0.79454,0.85394,0.31023,0.92144,0.000561279,0.000561279,0.000561279
69,5921.14,0.6599,0.30009,0.90576,0.99907,0.998,0.995,0.78796,0.85414,0.31596,0.92365,0.000544776,0.000544776,0.000544776
70,6007.2,0.65091,0.29437,0.89902,0.99563,0.99694,0.99497,0.7897,0.85921,0.31854,0.932,0.000528272,0.000528272,0.000528272
71,6093.39,0.66398,0.29877,0.8973,0.99992,0.99783,0.995,0.78982,0.87116,0.33384,0.93394,0.000511769,0.000511769,0.000511769
72,6179.79,0.64755,0.2924,0.89958,0.9964,0.99084,0.99483,0.78207,0.89659,0.33522,0.9526,0.000495266,0.000495266,0.000495266
73,6265.93,0.64196,0.29105,0.90005,0.99801,0.99977,0.99499,0.79311,0.86047,0.33265,0.93604,0.000478762,0.000478762,0.000478762
74,6352.15,0.65733,0.29372,0.90302,0.99767,0.99916,0.995,0.78353,0.89222,0.32088,0.937,0.000462259,0.000462259,0.000462259
75,6438,0.6452,0.29273,0.90176,0.99645,0.999,0.99498,0.7874,0.85983,0.3127,0.93012,0.000445756,0.000445756,0.000445756
76,6524.96,0.64365,0.2885,0.90038,0.99884,0.99935,0.995,0.78853,0.86281,0.31184,0.92724,0.000429253,0.000429253,0.000429253
77,6611.45,0.64394,0.28868,0.89849,0.999,0.99863,0.995,0.78866,0.86824,0.31379,0.93125,0.000412749,0.000412749,0.000412749
78,6697.64,0.64066,0.28602,0.89695,0.99413,0.99624,0.99492,0.78608,0.86952,0.318,0.92826,0.000396246,0.000396246,0.000396246
79,6783.88,0.63566,0.2812,0.9021,0.99861,0.998,0.99495,0.78702,0.86429,0.3103,0.92926,0.000379743,0.000379743,0.000379743
80,6869.85,0.64424,0.28791,0.90177,0.99628,0.99498,0.99492,0.7878,0.85769,0.31785,0.92902,0.000363239,0.000363239,0.000363239
81,6956.57,0.62975,0.27938,0.89794,0.99918,0.99847,0.995,0.78544,0.867,0.3073,0.92822,0.000346736,0.000346736,0.000346736
82,7042.64,0.63183,0.28185,0.89366,0.99644,0.99858,0.99498,0.787,0.85786,0.30979,0.92583,0.000330233,0.000330233,0.000330233
83,7128.93,0.63758,0.2824,0.90162,0.99979,0.999,0.995,0.79126,0.85834,0.30768,0.92703,0.000313729,0.000313729,0.000313729
84,7215.1,0.64646,0.27958,0.89971,0.99784,0.995,0.995,0.78433,0.87578,0.31168,0.93335,0.000297226,0.000297226,0.000297226
85,7301.42,0.62342,0.27751,0.89165,0.99757,0.99674,0.995,0.78613,0.86526,0.30373,0.92708,0.000280723,0.000280723,0.000280723
86,7387.62,0.62851,0.27167,0.89132,0.99968,0.998,0.995,0.78402,0.87592,0.31197,0.93537,0.00026422,0.00026422,0.00026422
87,7474.03,0.64097,0.27838,0.89543,0.99804,0.996,0.995,0.7862,0.86193,0.31146,0.92818,0.000247716,0.000247716,0.000247716
88,7560.13,0.6345,0.27792,0.90287,0.99856,0.99551,0.995,0.7938,0.84302,0.30446,0.92645,0.000231213,0.000231213,0.000231213
89,7646.26,0.62104,0.27125,0.8985,0.99729,0.99404,0.99497,0.7888,0.8599,0.31195,0.92506,0.00021471,0.00021471,0.00021471
90,7732.48,0.61505,0.26946,0.89238,0.99742,0.99605,0.99499,0.78838,0.86394,0.3092,0.92822,0.000198206,0.000198206,0.000198206
91,7847.41,0.59975,0.24138,0.87911,0.99486,0.99434,0.99498,0.78872,0.85842,0.31014,0.92853,0.000181703,0.000181703,0.000181703
92,7932.76,0.60161,0.23976,0.88264,0.99723,0.99334,0.995,0.78974,0.85306,0.31353,0.92254,0.0001652,0.0001652,0.0001652
93,8018.39,0.5961,0.23896,0.8831,0.99638,0.99709,0.995,0.79165,0.84272,0.3061,0.91873,0.000148696,0.000148696,0.000148696
94,8103.69,0.59101,0.23579,0.87522,0.99561,0.997,0.995,0.79223,0.85008,0.30385,0.92227,0.000132193,0.000132193,0.000132193
95,8189.45,0.58945,0.23481,0.88106,0.99425,0.98802,0.99499,0.7912,0.84465,0.31132,0.92113,0.00011569,0.00011569,0.00011569
96,8275.11,0.58677,0.23381,0.87361,0.99451,0.99007,0.995,0.79455,0.84338,0.3134,0.92279,9.91865e-05,9.91865e-05,9.91865e-05
97,8360.86,0.58623,0.23599,0.8778,0.99453,0.99218,0.99494,0.79263,0.85174,0.31239,0.92563,8.26832e-05,8.26832e-05,8.26832e-05
98,8446.28,0.58027,0.22899,0.87704,0.99355,0.995,0.99499,0.793,0.85119,0.30941,0.9284,6.61799e-05,6.61799e-05,6.61799e-05
99,8532.1,0.57587,0.22765,0.88029,0.99401,0.997,0.99496,0.79247,0.84616,0.30526,0.92509,4.96766e-05,4.96766e-05,4.96766e-05
100,8617.56,0.57821,0.22814,0.87315,0.99381,0.997,0.99496,0.79104,0.85098,0.30657,0.92586,3.31733e-05,3.31733e-05,3.31733e-05
